seq,ts,value
1000000000,2023-01-01 00:00:00,33700369
1000000001,2023-01-01 01:00:00,33700764
1000000002,2023-01-01 02:00:00,33701234
1000000003,2023-01-01 03:00:00,33701368
1000000004,2023-01-01 04:00:00,33701653
1000000005,2023-01-01 05:00:00,33701744
1000000006,2023-01-01 06:00:00,33702122
1000000007,2023-01-01 07:00:00,33702264
1000000008,2023-01-01 08:00:00,33702396
1000000009,2023-01-01 09:00:00,33702494
1000000010,2023-01-01 10:00:00,33702847
1000000011,2023-01-01 11:00:00,33703228
1000000012,2023-01-01 12:00:00,33703387
1000000013,2023-01-01 13:00:00,33703529
1000000014,2023-01-01 14:00:00,33703775
1000000015,2023-01-01 15:00:00,33704141
1000000016,2023-01-01 16:00:00,33704544
1000000017,2023-01-01 17:00:00,33704623
1000000018,2023-01-01 18:00:00,33704673
1000000019,2023-01-01 19:00:00,33704800
1000000020,2023-01-01 20:00:00,33705095
1000000021,2023-01-01 21:00:00,33705489
1000000022,2023-01-01 22:00:00,33705825
1000000023,2023-01-01 23:00:00,33705917
1000000024,2023-01-02 00:00:00,33706393
1000000025,2023-01-02 01:00:00,33706827
1000000026,2023-01-02 02:00:00,33706892
1000000027,2023-01-02 03:00:00,33707133
1000000028,2023-01-02 04:00:00,33707630
1000000029,2023-01-02 05:00:00,33707796
1000000030,2023-01-02 06:00:00,33708093
1000000031,2023-01-02 07:00:00,33708320
1000000032,2023-01-02 08:00:00,33708495
1000000033,2023-01-02 09:00:00,33708613
1000000034,2023-01-02 10:00:00,33708672
1000000035,2023-01-02 11:00:00,33708766
1000000036,2023-01-02 12:00:00,33709049
1000000037,2023-01-02 13:00:00,33709425
1000000038,2023-01-02 14:00:00,33709671
1000000039,2023-01-02 15:00:00,33709849
1000000040,2023-01-02 16:00:00,33710196
1000000041,2023-01-02 17:00:00,33710367
1000000042,2023-01-02 18:00:00,33710657
1000000043,2023-01-02 19:00:00,33710957
1000000044,2023-01-02 20:00:00,33711234
1000000045,2023-01-02 21:00:00,33711354
1000000046,2023-01-02 22:00:00,33711404
1000000047,2023-01-02 23:00:00,33711802
1000000048,2023-01-03 00:00:00,33712127
1000000049,2023-01-03 01:00:00,33712488
1000000050,2023-01-03 02:00:00,33712839
1000000051,2023-01-03 03:00:00,33713168
1000000052,2023-01-03 04:00:00,33713448
1000000053,2023-01-03 05:00:00,33713570
1000000054,2023-01-03 06:00:00,33714032
1000000055,2023-01-03 07:00:00,33714525
1000000056,2023-01-03 08:00:00,33714877
1000000057,2023-01-03 09:00:00,33714962
1000000058,2023-01-03 10:00:00,33715144
1000000059,2023-01-03 11:00:00,33715200
1000000060,2023-01-03 12:00:00,33715481
1000000061,2023-01-03 13:00:00,33715817
1000000062,2023-01-03 14:00:00,33716208
1000000063,2023-01-03 15:00:00,33716694
1000000064,2023-01-03 16:00:00,33716793
1000000065,2023-01-03 17:00:00,33717103
1000000066,2023-01-03 18:00:00,33717520
1000000067,2023-01-03 19:00:00,33717992
1000000068,2023-01-03 20:00:00,33718488
1000000069,2023-01-03 21:00:00,33718568
1000000070,2023-01-03 22:00:00,33718823
1000000071,2023-01-03 23:00:00,33718987
1000000072,2023-01-04 00:00:00,33719097
1000000073,2023-01-04 01:00:00,33719497
1000000074,2023-01-04 02:00:00,33719619
1000000075,2023-01-04 03:00:00,33719909
1000000076,2023-01-04 04:00:00,33720080
1000000077,2023-01-04 05:00:00,33720261
1000000078,2023-01-04 06:00:00,33720328
1000000079,2023-01-04 07:00:00,33720493
1000000080,2023-01-04 08:00:00,33720567
1000000081,2023-01-04 09:00:00,33720633
1000000082,2023-01-04 10:00:00,33721100
1000000083,2023-01-04 11:00:00,33721364
1000000084,2023-01-04 12:00:00,33721490
1000000085,2023-01-04 13:00:00,33721674
1000000086,2023-01-04 14:00:00,33721980
1000000087,2023-01-04 15:00:00,33722111
1000000088,2023-01-04 16:00:00,33722366
1000000089,2023-01-04 17:00:00,33722543
1000000090,2023-01-04 18:00:00,33722627
1000000091,2023-01-04 19:00:00,33722856
1000000092,2023-01-04 20:00:00,33723006
1000000093,2023-01-04 21:00:00,33723109
1000000094,2023-01-04 22:00:00,33723328
1000000095,2023-01-04 23:00:00,33723655
1000000096,2023-01-05 00:00:00,33724142
1000000097,2023-01-05 01:00:00,33724367
1000000098,2023-01-05 02:00:00,33724468
1000000099,2023-01-05 03:00:00,33724533
1000000100,2023-01-05 04:00:00,33724820
1000000101,2023-01-05 05:00:00,33725127
1000000102,2023-01-05 06:00:00,33725527
1000000103,2023-01-05 07:00:00,33725684
1000000104,2023-01-05 08:00:00,33726007
1000000105,2023-01-05 09:00:00,33726204
1000000106,2023-01-05 10:00:00,33726473
1000000107,2023-01-05 11:00:00,33726879
1000000108,2023-01-05 12:00:00,33727361
1000000109,2023-01-05 13:00:00,33727488
1000000110,2023-01-05 14:00:00,33727581
1000000111,2023-01-05 15:00:00,33727831
1000000112,2023-01-05 16:00:00,33728145
1000000113,2023-01-05 17:00:00,33728461
1000000114,2023-01-05 18:00:00,33728952
1000000115,2023-01-05 19:00:00,33729325
1000000116,2023-01-05 20:00:00,33729457
1000000117,2023-01-05 21:00:00,33729549
1000000118,2023-01-05 22:00:00,33729615
1000000119,2023-01-05 23:00:00,33729807
1000000120,2023-01-06 00:00:00,33730273
1000000121,2023-01-06 01:00:00,33730353
1000000122,2023-01-06 02:00:00,33730634
1000000123,2023-01-06 03:00:00,33731071
1000000124,2023-01-06 04:00:00,33731365
1000000125,2023-01-06 05:00:00,33731808
1000000126,2023-01-06 06:00:00,33731875
1000000127,2023-01-06 07:00:00,33732035
1000000128,2023-01-06 08:00:00,33732529
1000000129,2023-01-06 09:00:00,33732982
1000000130,2023-01-06 10:00:00,33733306
1000000131,2023-01-06 11:00:00,33733742
1000000132,2023-01-06 12:00:00,33734141
1000000133,2023-01-06 13:00:00,33734415
1000000134,2023-01-06 14:00:00,33734653
1000000135,2023-01-06 15:00:00,33734830
1000000136,2023-01-06 16:00:00,33735050
1000000137,2023-01-06 17:00:00,33735125
1000000138,2023-01-06 18:00:00,33735389
1000000139,2023-01-06 19:00:00,33735759
1000000140,2023-01-06 20:00:00,33735867
1000000141,2023-01-06 21:00:00,33736107
1000000142,2023-01-06 22:00:00,33736594
1000000143,2023-01-06 23:00:00,33736978
1000000144,2023-01-07 00:00:00,33737402
1000000145,2023-01-07 01:00:00,33737831
1000000146,2023-01-07 02:00:00,33737923
1000000147,2023-01-07 03:00:00,33738011
1000000148,2023-01-07 04:00:00,33738302
1000000149,2023-01-07 05:00:00,33738500
1000000150,2023-01-07 06:00:00,33738714
1000000151,2023-01-07 07:00:00,33738913
1000000152,2023-01-07 08:00:00,33739181
1000000153,2023-01-07 09:00:00,33739389
1000000154,2023-01-07 10:00:00,33739842
1000000155,2023-01-07 11:00:00,33739945
1000000156,2023-01-07 12:00:00,33740336
1000000157,2023-01-07 13:00:00,33740639
1000000158,2023-01-07 14:00:00,33740891
1000000159,2023-01-07 15:00:00,33741388
1000000160,2023-01-07 16:00:00,33741731
1000000161,2023-01-07 17:00:00,33742064
1000000162,2023-01-07 18:00:00,33742149
1000000163,2023-01-07 19:00:00,33742375
1000000164,2023-01-07 20:00:00,33742807
1000000165,2023-01-07 21:00:00,33743300
1000000166,2023-01-07 22:00:00,33743457
1000000167,2023-01-07 23:00:00,33743559
1000000168,2023-01-08 00:00:00,33743755
1000000169,2023-01-08 01:00:00,33743888
1000000170,2023-01-08 02:00:00,33744277
1000000171,2023-01-08 03:00:00,33744734
1000000172,2023-01-08 04:00:00,33744983
1000000173,2023-01-08 05:00:00,33745187
1000000174,2023-01-08 06:00:00,33745573
1000000175,2023-01-08 07:00:00,33745772
1000000176,2023-01-08 08:00:00,33745905
