seq,ts,value
1000000000,2023-01-01 00:00:00,24.20606
1000000001,2023-01-01 00:15:00,23.764
1000000002,2023-01-01 00:30:00,23.14256
1000000003,2023-01-01 00:45:00,23.38995
1000000004,2023-01-01 01:00:00,25.45093
1000000005,2023-01-01 01:15:00,23.1838
1000000006,2023-01-01 01:30:00,25.60025
1000000007,2023-01-01 01:45:00,23.96316
1000000008,2023-01-01 02:00:00,23.30088
1000000009,2023-01-01 02:15:00,24.65303
1000000010,2023-01-01 02:30:00,23.76248
1000000011,2023-01-01 02:45:00,24.28758
1000000012,2023-01-01 03:00:00,25.03944
1000000013,2023-01-01 03:15:00,23.41181
1000000014,2023-01-01 03:30:00,25.89175
1000000015,2023-01-01 03:45:00,24.84148
1000000016,2023-01-01 04:00:00,23.18949
1000000017,2023-01-01 04:15:00,23.92491
1000000018,2023-01-01 04:30:00,24.96503
1000000019,2023-01-01 04:45:00,25.5379
1000000020,2023-01-01 05:00:00,25.72326
1000000021,2023-01-01 05:15:00,24.49124
1000000022,2023-01-01 05:30:00,25.2336
1000000023,2023-01-01 05:45:00,24.39337
1000000024,2023-01-01 06:00:00,25.78399
1000000025,2023-01-01 06:15:00,23.39031
1000000026,2023-01-01 06:30:00,23.43446
1000000027,2023-01-01 06:45:00,25.83793
1000000028,2023-01-01 07:00:00,23.9135
1000000029,2023-01-01 07:15:00,23.30555
1000000030,2023-01-01 07:30:00,24.5643
1000000031,2023-01-01 07:45:00,25.66479
1000000032,2023-01-01 08:00:00,23.19666
1000000033,2023-01-01 08:15:00,23.83231
1000000034,2023-01-01 08:30:00,23.10342
1000000035,2023-01-01 08:45:00,25.51896
1000000036,2023-01-01 09:00:00,23.73241
1000000037,2023-01-01 09:15:00,23.07506
1000000038,2023-01-01 09:30:00,24.7567
1000000039,2023-01-01 09:45:00,25.26622
1000000040,2023-01-01 10:00:00,23.50763
1000000041,2023-01-01 10:15:00,24.88532
1000000042,2023-01-01 10:30:00,23.21993
1000000043,2023-01-01 10:45:00,25.13039
1000000044,2023-01-01 11:00:00,24.5827
1000000045,2023-01-01 11:15:00,25.74342
1000000046,2023-01-01 11:30:00,23.85742
1000000047,2023-01-01 11:45:00,23.13864
1000000048,2023-01-01 12:00:00,25.92955
1000000049,2023-01-01 12:15:00,23.38437
1000000050,2023-01-01 12:30:00,24.64333
1000000051,2023-01-01 12:45:00,24.8933
1000000052,2023-01-01 13:00:00,23.35599
1000000053,2023-01-01 13:15:00,25.11519
1000000054,2023-01-01 13:30:00,23.02311
1000000055,2023-01-01 13:45:00,23.95432
1000000056,2023-01-01 14:00:00,23.02439
1000000057,2023-01-01 14:15:00,25.60196
1000000058,2023-01-01 14:30:00,25.3021
1000000059,2023-01-01 14:45:00,25.69831
1000000060,2023-01-01 15:00:00,24.01957
1000000061,2023-01-01 15:15:00,25.24508
1000000062,2023-01-01 15:30:00,24.46961
1000000063,2023-01-01 15:45:00,23.44138
1000000064,2023-01-01 16:00:00,23.97564
1000000065,2023-01-01 16:15:00,25.37256
1000000066,2023-01-01 16:30:00,24.37141
1000000067,2023-01-01 16:45:00,25.69601
1000000068,2023-01-01 17:00:00,23.76277
1000000069,2023-01-01 17:15:00,23.06996
1000000070,2023-01-01 17:30:00,25.10778
1000000071,2023-01-01 17:45:00,25.67727
1000000072,2023-01-01 18:00:00,24.98275
1000000073,2023-01-01 18:15:00,23.6763
1000000074,2023-01-01 18:30:00,25.35101
1000000075,2023-01-01 18:45:00,24.65338
1000000076,2023-01-01 19:00:00,24.45742
1000000077,2023-01-01 19:15:00,24.81264
1000000078,2023-01-01 19:30:00,23.46159
1000000079,2023-01-01 19:45:00,25.7278
